account_id,gf_in_degree,gf_out_degree,gf_weighted_in_degree,gf_weighted_out_degree,gf_pagerank,gf_clustering_coefficient,gf_betweenness,gf_hub_score,gf_authority_score,gf_degree_ratio,gf_flow_ratio,gf_unique_in_neighbors,gf_unique_out_neighbors,gf_reciprocity,gf_in_cycle
8724731955,0,6,0,6,0,0,0,8,3,0,0,0,6,0,0
2769355426,3,6,5,6,8,0,0,1,6,1,1,3,6,0,0
1491989064,0,9,0,9,0,0,0,9,3,0,0,0,9,0,0
8401255335,3,0,8,0,4,0,0,1,9,1,1,3,0,0,0
287305149,0,9,0,9,0,0,0,8,3,0,0,0,9,0,0
4404767002,3,0,9,0,6,0,0,1,6,1,1,3,0,0,0
5376652437,0,6,0,6,0,0,0,9,3,0,0,0,6,0,0
9600420220,9,8,9,7,9,0,9,9,8,1,1,9,8,0,0
9614186178,0,6,0,6,0,0,0,1,3,0,0,0,6,0,0
3803336972,3,8,3,8,8,0,0,9,2,1,1,3,8,0,0
8974559268,9,9,9,9,9,0,0,0,8,1,1,9,9,4,1
3143547511,3,6,7,7,9,0,0,8,2,1,1,3,6,4,1
980191499,0,6,0,8,0,0,0,1,3,0,0,0,6,0,0
8577635959,3,0,9,0,8,0,0,1,2,1,1,3,0,0,0
8057793308,0,6,0,6,0,0,0,1,3,0,0,0,6,0,0
9350896213,3,0,3,0,8,0,0,1,2,1,1,3,0,0,0
6116657264,0,9,0,9,0,0,0,0,3,0,0,0,9,0,0
656192169,3,0,7,0,4,0,0,1,0,1,1,3,0,0,0
7421451752,0,9,0,9,0,0,0,0,3,0,0,0,9,0,0
2755709071,3,0,8,0,4,0,0,1,0,1,1,3,0,0,0
5119661534,0,6,0,7,0,0,0,8,3,0,0,0,6,0,0
9734073275,3,0,6,0,8,0,0,1,7,1,1,3,0,0,0
5606024775,0,6,0,6,0,0,0,8,3,0,0,0,6,0,0
8646193759,3,0,5,0,8,0,0,1,7,1,1,3,0,0,0
1405792399,0,6,0,9,0,0,0,0,3,0,0,0,6,0,0
5109623450,9,8,9,8,9,0,9,1,0,1,1,9,8,0,0
2188890133,0,9,0,9,0,0,0,0,3,0,0,0,9,0,0
3938416782,3,0,9,0,7,0,0,1,1,1,1,3,0,0,0
6715177555,0,8,0,7,0,0,0,9,3,0,0,0,8,0,0
4460925916,3,0,4,0,5,0,0,1,9,1,1,3,0,0,0
7017008854,0,9,0,9,0,0,0,9,3,0,0,0,9,0,0
3714297114,3,0,6,0,3,0,0,1,9,1,1,3,0,0,0
2047410771,0,6,0,8,0,0,0,0,3,0,0,0,6,0,0
6646502650,9,0,9,0,9,0,0,1,0,1,1,9,0,0,0
1470504995,0,6,0,6,0,0,0,0,3,0,0,0,6,0,0
3347268325,9,8,9,8,9,0,0,0,0,1,1,9,8,4,1
4473647189,0,6,0,8,0,0,0,0,3,0,0,0,6,0,0
7892884492,9,8,9,7,9,0,0,9,0,1,1,9,8,0,0
8184612956,0,6,0,8,0,0,0,0,3,0,0,0,6,0,0
5628674969,9,8,9,9,9,0,9,0,0,1,1,9,8,0,0
3709430533,0,9,0,9,0,0,0,0,3,0,0,0,9,0,0
9172843471,3,0,7,0,4,0,0,1,0,1,1,3,0,0,0
8331196922,0,6,0,6,0,0,0,8,3,0,0,0,6,0,0
7390946087,3,0,4,0,8,0,0,1,7,1,1,3,0,0,0
7311441430,0,6,0,8,0,0,0,1,3,0,0,0,6,0,0
4362242478,3,0,8,0,8,0,0,1,2,1,1,3,0,0,0
9139420948,0,6,0,7,0,0,0,1,3,0,0,0,6,0,0
4473064900,3,0,6,0,8,0,0,1,1,1,1,3,0,0,0
6846270694,3,6,4,7,4,0,0,8,2,1,1,3,6,4,1
855729452,3,9,7,9,9,0,0,1,7,1,1,3,9,4,1
374414130,0,6,0,8,0,0,0,0,3,0,0,0,6,0,0
3220735304,9,9,9,9,9,0,0,0,0,1,1,9,9,0,0
9239631224,0,9,0,9,0,0,0,9,3,0,0,0,9,0,0
3274570726,3,0,9,0,6,0,0,1,9,1,1,3,0,0,0
2004133484,0,6,0,8,0,0,0,9,3,0,0,0,6,0,0
3079818547,9,0,9,0,9,0,0,1,9,1,1,9,0,0,0
8723924487,0,6,0,7,0,0,0,1,3,0,0,0,6,0,0
8381540882,3,0,7,0,8,0,0,1,1,1,1,3,0,0,0
6533102627,0,6,0,7,0,0,0,1,3,0,0,0,6,0,0
9092261147,3,0,7,0,8,0,0,1,1,1,1,3,0,0,0
1203252958,9,9,9,9,9,0,0,9,9,1,1,9,9,4,1
8500212178,3,0,6,0,6,0,0,1,8,1,1,3,0,0,0
4021161031,0,9,0,9,0,0,0,9,3,0,0,0,9,0,0
979819164,3,0,7,0,4,0,0,1,9,1,1,3,0,0,0
5126390175,0,6,0,8,0,0,0,0,3,0,0,0,6,0,0
8518184956,9,0,9,0,9,0,0,1,0,1,1,9,0,0,0
1074336451,0,6,0,7,0,0,0,8,3,0,0,0,6,0,0
855832934,3,0,6,0,8,0,0,1,7,1,1,3,0,0,0
8389148416,9,9,9,9,9,0,0,0,0,1,1,9,9,0,0
721717864,3,0,9,0,6,0,0,1,0,1,1,3,0,0,0
3510078932,0,9,0,9,0,0,0,0,3,0,0,0,9,0,0
9418077278,3,0,8,0,4,0,0,1,0,1,1,3,0,0,0
8204380961,0,9,0,8,0,0,0,0,3,0,0,0,9,0,0
4816555386,3,0,7,0,7,0,0,1,2,1,1,3,0,0,0
936440682,0,6,0,8,0,0,0,9,3,0,0,0,6,0,0
4336977506,9,0,9,0,9,0,0,1,9,1,1,9,0,0,0
8410434333,0,6,0,8,0,0,0,0,3,0,0,0,6,0,0
4082552798,0,6,0,8,0,0,0,9,3,0,0,0,6,0,0
4173195094,9,0,9,0,9,0,0,1,9,1,1,9,0,0,0
7669236826,0,9,0,9,0,0,0,0,3,0,0,0,9,0,0
6044424887,3,0,8,0,4,0,0,1,0,1,1,3,0,0,0
1008340236,0,9,0,8,0,0,0,8,3,0,0,0,9,0,0
339701644,3,0,7,0,6,0,0,1,6,1,1,3,0,0,0
1445991735,0,8,0,9,0,0,0,9,3,0,0,0,8,0,0
8941775586,3,0,9,0,7,0,0,1,9,1,1,3,0,0,0
757928908,9,9,8,7,9,0,0,0,7,1,1,9,9,4,1
6083019593,3,0,6,0,7,0,0,1,0,1,1,3,0,0,0
109525315,0,6,0,9,0,0,0,0,3,0,0,0,6,0,0
